postcode;name
2630;Aartselaar
2000;Antwerpen
2018;Antwerpen
2020;Antwerpen
2030;Antwerpen
2040;Antwerpen
2050;Antwerpen
2060;Antwerpen
2370;Arendonk
2387;Baarle-Hertog
2490;Balen
2340;Beerse
2580;Beerzel
2600;Berchem
2040;Berendrecht
2590;Berlaar
2560;Bevel
2830;Blaasveld
2530;Boechout
2820;Bonheiden
2221;Booischot
2850;Boom
2140;Borgerhout
2880;Bornem
2150;Borsbeek (Antw.)
2288;Bouwel
2930;Brasschaat
2960;Brecht
2870;Breendonk
2520;Broechem
2070;Burcht
2480;Dessel
2100;Deurne
2570;Duffel
2650;Edegem
2430;Eindhout
2180;Ekeren
2520;Emblem
2910;Essen
2440;Geel
2590;Gestel
2275;Gierle
2280;Grobbendonk
2220;Hallaar
2980;Halle (Kempen)
2801;Heffen
2830;Heindonk
2220;Heist-op-den-Berg
2620;Hemiksem
2200;Herentals
2270;Herenthout
2230;Herselt
2880;Hingene
2660;Hoboken
2940;Hoevenen
2811;Hombeek
2320;Hoogstraten
2235;Houtvenne
2540;Hove
2235;Hulshout
2222;Itegem
2920;Kalmthout
2950;Kapellen (Antw.)
2460;Kasterlee
2560;Kessel
2500;Koningshooikt
2550;Kontich
2430;Laakdal
2811;Leest
2460;Lichtaart
2500;Lier
2870;Liezele
2275;Lille
2040;Lillo
2547;Lint
2890;Lippelo
2990;Loenhout
2390;Malle
2880;Mariekerke (Bornem)
2240;Massenhoven
2800;Mechelen
2321;Meer
2450;Meerhout
2328;Meerle
2170;Merksem
2330;Merksplas
2322;Minderhout
2400;Mol
2200;Morkhoven
2640;Mortsel
2812;Muizen (Mechelen)
2845;Niel
2560;Nijlen
2200;Noorderwijk
2520;Oelegem
2260;Oevel
2250;Olen
2491;Olmen
2861;Onze-Lieve-Vrouw-Waver
2390;Oostmalle
2890;Oppuurs
2360;Oud-Turnhout
2275;Poederlee
2382;Poppel
2242;Pulderbos
2243;Pulle
2580;Putte
2870;Puurs
2230;Ramsel
2520;Ranst
2380;Ravels
2840;Reet
2470;Retie
2310;Rijkevorsel
2820;Rijmenam
2870;Ruisbroek (Antw.)
2840;Rumst
2970;'s Gravenwezel
2627;Schelle
2970;Schilde
2900;Schoten
2223;Schriek
2890;Sint-Amands
2960;Sint-Job-in-'t-Goor
2860;Sint-Katelijne-Waver
2960;Sint-Lenaarts
2940;Stabroek
2840;Terhagen
2460;Tielen
2830;Tisselt
2260;Tongerlo (Antw.)
2300;Turnhout
2431;Varendonk
2431;Veerle
2240;Viersel
2340;Vlimmeren
2290;Vorselaar
2430;Vorst (Kempen)
2350;Vosselaar
2531;Vremde
2550;Waarloos
2800;Walem
2275;Wechelderzande
2381;Weelde
2880;Weert
2260;Westerlo
2390;Westmalle
2235;Westmeerbeek
2222;Wiekevorst
2110;Wijnegem
2830;Willebroek
2610;Wilrijk
2160;Wommelgem
2323;Wortel
2990;Wuustwezel
2240;Zandhoven
2040;Zandvliet
2260;Zoerle-Parwijs
2980;Zoersel
2070;Zwijndrecht
